CODE,MIN,MODE,MAX,COMMENTS
13995008,0.0,0.0,0.0,"L6300,L6310,L6320,L6550,L6960,L6965"
119654003,0.0,0.0,0.0,"L6900,L6905,L6910,L6915"
281171009,0.0,0.0,0.0,L8049
87647009,0.0,0.0,0.0,L8659
81643004,0.0,0.0,0.0,M0100
84197004,0.0,0.0,0.0,M0100
392031002,0.0,0.0,0.0,M0300
431215000,0.0,0.0,0.0,M0300
23349009,0.0,0.0,0.0,P2028
413625003,0.0,0.0,0.0,P7001
104193001,0.0,0.0,0.0,P7001
108324000,0.0,6.28,17.7,"P9603,P9604"
17636008,0.38,3.82,10.43,"P9612,P9615"
104195008,6.56,11.89,19.26,Q0111
252690007,1.31,4.08,9.14,Q0112
608907007,0.0,0.0,0.0,Q0115
164814002,0.0,0.0,0.0,Q0115
370771002,0.0,0.0,0.0,Q0485
42767002,0.0,0.0,0.0,Q0485
53309004,0.0,0.0,0.0,Q3031
429241001,0.0,0.0,0.0,Q3031
121596008,0.0,0.0,0.0,Q4084
25798001,0.0,0.0,0.0,S0196
65043002,0.0,0.0,0.0,S0201
310411006,0.0,0.0,0.0,S0220
713058002,0.0,0.0,0.07,S0257
79841006,0.0,0.0,0.0,S0265
118661008,0.0,0.0,0.0,S0273
225297008,0.0,2.32,9.37,"S0280,S0281,T1007"
313204009,0.0,0.0,0.0,"S0340,S0341"
395673000,0.0,0.0,0.0,"S0353,S0354"
386248001,0.0,0.0,0.0,S0592
174315007,0.0,0.0,0.0,S0601
90526000,0.0,0.58,1.48,"S0610,S0620"
86013001,0.0,3.7,10.11,"S0612,S0621"
18178001,0.0,0.0,0.0,S0618
21727005,0.0,0.0,0.0,S0618
276342005,0.0,2.99,7.07,"S0620,S0621"
5880005,0.0,0.0,0.0,S0622
390852004,0.0,0.0,0.0,S0625
30549001,0.0,7.2,39.98,S0630
77465005,0.0,0.0,0.0,S2054
53958007,0.0,0.0,0.0,S2055
716009005,0.0,0.0,0.0,S2095
180851005,0.0,0.0,0.0,S2112
86975004,0.0,0.0,0.0,S2115
713666005,0.0,0.0,0.0,S2115
427615008,0.0,0.0,0.0,S2140
425843001,0.0,0.0,0.0,S2142
232719007,0.0,0.0,0.0,S2205
419132001,0.0,0.0,0.0,S2205
386639001,0.0,0.0,0.0,S2260
6358007,0.0,0.0,0.0,S2300
281812007,0.0,0.0,0.0,S2300
118739009,0.0,0.0,0.0,S2340
72916004,0.0,0.0,0.0,S2340
64874008,0.0,0.0,0.0,S2340
36777000,0.0,0.0,0.0,S2342
25570002,0.0,0.0,0.0,S2342
722492002,0.0,0.0,0.0,S2342
302129007,0.0,0.01,0.29,S9090
10836008,0.0,0.0,0.0,S2350
231045009,0.0,0.0,0.0,S2351
722161008,0.0,0.0,0.0,S3000
401174001,0.0,0.02,1.21,S3005
52637005,0.0,0.0,0.0,"S4011,S4015,S4016,S4021"
236894009,0.0,0.0,0.0,S4037
63487001,0.0,0.0,0.0,S4022
119270007,0.0,0.0,0.0,S4042
61285001,0.0,0.0,0.0,S4042
304514001,0.0,0.0,0.0,S5185
182832007,0.0,0.0,0.0,S5185
225885004,0.0,0.0,0.0,S5190
231361000,0.0,0.0,0.0,"S5497,S5498,S5501,S5502"
90173004,0.0,0.0,0.0,"S5520,S5521,S5523"
308755006,0.0,0.0,0.0,"S5550,S5551,S5552,S5553"
360030002,0.0,0.0,0.03,"S8030,S8948"
118904000,0.0,0.0,0.0,S8030
77477000,0.0,0.0,0.0,S8092
118892008,0.0,0.0,0.0,S8930
231102004,0.0,0.0,0.0,S8930
229210004,0.0,0.0,0.0,S8940
229565001,0.0,0.0,0.05,S8948
47700006,0.0,0.0,0.0,S8950
314122007,0.0,0.0,0.13,S8990
398143009,0.0,0.0,0.0,S9001
449356000,0.0,0.0,0.0,S9055
702808009,0.0,0.0,0.0,S9061
719858009,0.0,0.0,0.0,S9110
385781007,0.0,0.0,0.0,"S9122,T1021,G0156"
90817005,40.53,40.53,40.53,"S9123,S9124,T1030"
31532004,0.0,0.0,0.0,S9127
5154007,0.0,0.0,0.0,S9128
91251008,0.0,0.0,0.0,"S9131,G0151,G0157"
185389009,0.0,0.0,0.0,S9141
443263006,0.0,0.0,0.0,S9145
410161005,0.0,0.0,0.0,S9152
171222001,0.0,0.0,0.0,"S9211,S9212,S9213"
409019001,0.0,0.0,0.0,S9212
278414003,0.0,21.62,193.38,S9328
60689008,0.0,1.73,15.47,"S9328,S9330,S9338,S9345,S9346,S9355,S9357,S9363,S9374,S9379,S9490,S9494,S9500,S9501,S9502,S9504"
36576007,0.0,1.88,16.82,"S9328,S9338,S9345,S9346,S9355,S9363,S9374,S9379,S9490,S9494,S9500,S9501,S9502,S9504"
309698005,0.0,0.0,0.0,S9330
67970008,0.0,0.0,0.0,S9335
76334006,0.0,0.0,0.0,S9338
71192002,0.0,0.0,0.0,S9339
229912004,0.0,0.0,0.0,"S9340,S9342,S9343"
14152002,0.0,0.0,0.0,S9357
276026009,0.0,0.0,0.0,S9374
250360002,0.0,0.0,0.0,S9401
386235000,0.0,0.0,0.0,S9436
414384004,0.0,0.0,0.0,S9444
311401005,0.0,0.0,0.0,"S9445,S9446"
386460002,0.0,0.0,0.0,S9446
410200000,0.0,0.0,0.0,S9449
410103006,0.0,0.0,0.0,S9454
185469009,0.0,0.0,0.0,S9460
284350006,0.0,0.0,0.0,S9465
410270001,0.0,0.01,0.14,S9470
308335008,0.0,0.01,0.14,S9470
23399008,0.0,0.0,0.0,S9476
24642003,0.0,1.14,6.84,S9480
371883000,0.0,1.14,6.84,S9480
47943005,0.0,0.0,0.0,"S9494,S9500,S9501,S9502,S9504"
22778000,0.0,0.0,0.0,S9529
385784004,0.0,0.0,0.0,"T1003,T1004"
313071005,0.0,2.21,4.41,"T1006,T1007"
311764000,0.0,0.0,0.0,"T1006,T1027"
228115009,0.0,0.0,0.0,T1018
185349003,0.0,0.05,0.76,T1023
307379009,0.0,0.0,0.0,T1025
228114008,0.0,0.0,0.0,T1025
737163006,0.0,0.0,0.0,T1027
225342001,0.0,0.0,0.0,T1028
