CODE,MIN,MODE,MAX,COMMENTS
896001,183.69,367.39,734.78,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]
896006,291.17,582.34,1164.68,120 ACTUAT fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent]
896019,135.75,271.51,543.02,60 ACTUAT fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler [Flovent]
896023,146.37,292.74,585.48,60 ACTUAT fluticasone propionate 0.1 MG/ACTUAT Dry Powder Inhaler [Flovent]
896027,206.72,413.45,826.9,60 ACTUAT fluticasone propionate 0.25 MG/ACTUAT Dry Powder Inhaler [Flovent]
896758,0.0,22.47,37.1,labetalol hydrochloride 100 MG Oral Tablet
896762,0.0,39.41,60.82,labetalol hydrochloride 200 MG Oral Tablet
896766,0.0,47.31,71.17,labetalol hydrochloride 300 MG Oral Tablet
898342,0.0,21.79,29.08,amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule
898346,0.0,23.37,30.97,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule
898350,25.64,26.89,28.38,amlodipine 2.5 MG / benazepril hydrochloride 10 MG Oral Capsule
898353,0.0,17.84,21.68,amlodipine 5 MG / benazepril hydrochloride 10 MG Oral Capsule
898356,15.57,25.38,34.37,amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule
898359,0.0,20.86,33.64,amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule
898362,42.2,52.3,58.93,benazepril hydrochloride 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet
898367,48.5,54.73,59.49,benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet
898372,44.07,55.8,69.38,benazepril hydrochloride 20 MG / hydrochlorothiazide 25 MG Oral Tablet
898687,0.0,13.11,23.87,benazepril hydrochloride 10 MG Oral Tablet
898690,0.0,15.04,23.41,benazepril hydrochloride 20 MG Oral Tablet
898719,0.0,13.45,22.26,benazepril hydrochloride 40 MG Oral Tablet
898723,4.77,13.19,16.93,benazepril hydrochloride 5 MG Oral Tablet
904458,0.0,10.59,22.15,pravastatin sodium 10 MG Oral Tablet
904467,0.0,12.91,35.85,pravastatin sodium 20 MG Oral Tablet
904475,0.0,16.15,29.61,pravastatin sodium 40 MG Oral Tablet
904481,0.0,27.03,46.02,pravastatin sodium 80 MG Oral Tablet
905377,279.9,353.54,420.4,hydralazine hydrochloride 37.5 MG / isosorbide dinitrate 20 MG Oral Tablet
966524,191.97,383.93,767.86,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort]
